INSTNM,CITY,STABBR,CONTROL,ADM_RATE,SAT_AVG,TUITFTE,RET_FT4,PCTFLOAN,PCTPELL,DEBT_MDN,C150_4,CDR3,mn_earn_wne_p7
Livingstone College,Salisbury,NC,2,0.7122,723,11219,0.5296,0.9334,0.8344,16750,0.2036,0.255,22100
Mars Hill University,Mars Hill,NC,2,0.6447,941,9187,0.5826,0.8905,0.7646,12000,0.3818,0.193,27600
Meredith College,Raleigh,NC,2,0.6232,1040,18352,0.7248,0.6871,0.352,20500,0.6242,0.057,33800
Methodist University,Fayetteville,NC,2,0.6122,961,13883,0.5448,0.5739,0.3904,11200,0.4249,0.112,37500
Mid-Atlantic Christian University,Elizabeth City,NC,2,0.4107,853,6808,0.5429,0.8733,0.7,12000,0.5862,0.191,27900
Montreat College,Montreat,NC,2,0.5429,950,8906,0.5789,0.6733,0.4119,19700,0.419,0.079,37300
Mount Olive College,Mount Olive,NC,2,0.4979,915,9598,0.6371,0.7001,0.5005,18845,0.3833,0.103,38300
North Carolina A & T State University,Greensboro,NC,1,0.6964,902,5098,0.7977,0.7788,0.5878,19843,0.4289,0.18,32100
North Carolina Central University,Durham,NC,1,0.5033,859,4987,0.7318,0.8126,0.635,21670,0.3972,0.168,31000
North Carolina State University at Raleigh,Raleigh,NC,1,0.5001,1229,7952,0.9258,0.424,0.2247,17750,0.7359,0.041,46400
North Carolina Wesleyan College,Rocky Mount,NC,2,0.4676,863,12302,0.4887,0.8449,0.6787,13514,0.332,0.202,37800
Pfeiffer University,Misenheimer,NC,2,0.9609,954,11155,0.6449,0.845,0.4393,16417.5,0.4815,0.107,35200
Piedmont International University,Winston Salem,NC,2,0.4884,878,6493,0.5806,0.4873,0.3941,12000,0.4,0.112,28500
Queens University of Charlotte,Charlotte,NC,2,0.7686,1058,14098,0.6994,0.6239,0.3274,18812.5,0.5207,0.056,38600
Saint Augustine's University,Raleigh,NC,2,0.6738,749,7143,0.6125,0.8594,0.7454,20250,0.2926,0.373,24400
Salem College,Winston Salem,NC,2,0.582,1110,7802,0.7965,0.7915,0.564,18750,0.6387,0.069,30900
St Andrews University,Laurinburg,NC,2,0.6448,964,9384,0.701,0.7319,0.417,9500,0.4626,0.167,23600
University of North Carolina at Asheville,Asheville,NC,1,0.6403,1190,6151,0.8025,0.4633,0.3187,15772.5,0.5954,0.073,30200
University of North Carolina at Chapel Hill,Chapel Hill,NC,1,0.2759,1313,11914,0.9609,0.3192,0.2053,15000,0.9002,0.023,54900
University of North Carolina at Charlotte,Charlotte,NC,1,0.6852,1066,7019,0.8038,0.5879,0.4046,16500,0.539,0.062,39200
University of North Carolina at Greensboro,Greensboro,NC,1,0.6002,1029,5580,0.7386,0.5872,0.4432,16000,0.5541,0.075,33500
University of North Carolina at Pembroke,Pembroke,NC,1,0.7204,926,3693,0.6759,0.6704,0.5349,13260,0.327,0.159,29900
University of North Carolina School of the Arts,Winston-Salem,NC,1,0.4521,1105,11470,0.848,0.5711,0.3132,19500,0.5968,0.06,31600
University of North Carolina Wilmington,Wilmington,NC,1,0.5419,1154,7096,0.864,0.5109,0.2825,16500,0.7099,0.067,36700
Warren Wilson College,Swannanoa,NC,2,0.696,1136,14540,0.6869,0.588,0.331,14000,0.5064,0.063,23300
Western Carolina University,Cullowhee,NC,1,0.3766,1034,5283,0.7865,0.5798,0.3814,15000,0.5108,0.081,32400
William Peace University,Raleigh,NC,2,0.9086,910,11537,0.6681,0.8851,0.7155,14000,0.3978,0.092,30500
Wingate University,Wingate,NC,2,0.793,1013,12360,0.7536,0.7468,0.3824,15750,0.5305,0.073,49400
Winston-Salem State University,Winston-Salem,NC,1,0.5565,889,4135,0.75,0.7249,0.572,20499,0.4553,0.16,31400
Bacone College,Muskogee,OK,2,0.7182,836,3958,0.3313,0.9001,0.9451,9500,0.0536,0.241,30000
East Central University,Ada,OK,1,0.9814,969,4410,0.6252,0.4532,0.4848,12449,0.3384,0.169,34300
Hillsdale Free Will Baptist College,Moore,OK,2,0.4331,899,9394,0.4528,0.6169,0.5373,10125,0.5119,0.151,32800
Northeastern State University,Tahlequah,OK,1,0.7337,970,4087,0.6807,0.5201,0.4926,12500,0.2969,0.164,33300
Northwestern Oklahoma State University,Alva,OK,1,0.598,930,3135,0.5917,0.4301,0.4177,7500,0.314,0.16,32800
Oklahoma Baptist University,Shawnee,OK,2,0.5646,1098,9145,0.7406,0.5045,0.3326,12000,0.546,0.057,33500
Oklahoma Christian University,Edmond,OK,2,0.6321,1124,8890,0.8506,0.5196,0.2707,15331,0.4875,0.063,33300
Oklahoma City University,Oklahoma City,OK,2,0.7198,1163,16651,0.8145,0.4877,0.1991,19749,0.6075,0.078,41800
Oklahoma Panhandle State University,Goodwell,OK,1,0.4767,890,3926,0.6286,0.5161,0.4554,9375,0.2264,0.162,32800
Oklahoma State University-Main Campus,Stillwater,OK,1,0.7602,1138,10283,0.7861,0.4371,0.2914,14750.5,0.5956,0.08,42900
Oklahoma Wesleyan University,Bartlesville,OK,2,0.4934,981,12207,0.5036,0.8123,0.4207,16664,0.5688,0.074,48100
Oral Roberts University,Tulsa,OK,2,0.4354,1037,11083,0.8056,0.6733,0.4396,22500,0.5336,0.108,34300
Rogers State University,Claremore,OK,1,0.5445,950,3608,0.6044,0.4682,0.4721,8250,0.2131,0.156,31800
Southeastern Oklahoma State University,Durant,OK,1,0.7992,950,4433,0.5737,0.4546,0.4777,9860,0.3059,0.163,33300
Southwestern Christian University,Bethany,OK,2,0.884,963,14390,0.5158,0.7856,0.6522,10877,0.2973,0.132,24400
Southwestern Oklahoma State University,Weatherford,OK,1,0.9026,990,3700,0.7008,0.6484,0.3921,10500,0.3292,0.188,40900
University of Central Oklahoma,Edmond,OK,1,0.8398,1030,5618,0.6511,0.4162,0.3496,12500,0.3562,0.105,36800
University of Oklahoma-Norman Campus,Norman,OK,1,0.8044,1176,10362,0.8395,0.3806,0.2491,15750,0.6629,0.049,48000
University of Science and Arts of Oklahoma,Chickasha,OK,1,0.6246,990,2778,0.6909,0.4761,0.464,11296.5,0.3788,0.175,29800
University of Tulsa,Tulsa,OK,2,0.4059,1279,19693,0.9034,0.3177,0.1557,20500,0.6882,0.072,46200
Anderson University,Anderson,SC,2,0.6502,1079,12282,0.734,0.6056,0.3422,19500,0.4138,0.096,32600
Charleston Southern University,Charleston,SC,2,0.6887,973,11674,0.647,0.7398,0.4667,15750,0.3615,0.088,33600
Citadel Military College of South Carolina,Charleston,SC,1,0.8041,1080,10577,0.8459,0.5215,0.2355,19500,0.6885,0.057,46800
Claflin University,Orangeburg,SC,2,0.526,873,9889,0.7023,0.8994,0.8041,22055,0.437,0.144,25800
Clemson University,Clemson,SC,1,0.5787,1259,14345,0.9194,0.4174,0.1782,20008,0.8253,0.04,45600
Coastal Carolina University,Conway,SC,1,0.7404,993,11355,0.6264,0.6858,0.377,14750,0.4584,0.106,34300
Coker College,Hartsville,SC,2,0.5326,956,11021,0.5936,0.7853,0.5515,20850,0.4322,0.087,30300
College of Charleston,Charleston,SC,1,0.7031,1165,12205,0.8262,0.4288,0.2257,17000,0.6448,0.066,36800
Columbia College,Columbia,SC,2,0.6499,1027,12071,0.6417,0.7994,0.5924,23169.5,0.4244,0.12,30500
Columbia International University,Columbia,SC,2,0.6258,1055,10047,0.8515,0.8076,0.4828,17250,0.6522,0.065,27800
Converse College,Spartanburg,SC,2,0.5201,1072,8005,0.7348,0.7771,0.4545,18333,0.6194,0.06,29000
Erskine College,Due West,SC,2,0.6973,1010,10220,0.8321,0.6173,0.3565,19444.5,0.5644,0.068,32800
Francis Marion University,Florence,SC,1,0.5667,938,5615,0.6683,0.7148,0.5603,19250,0.4059,0.11,30200
Furman University,Greenville,SC,2,0.6397,1237,22453,0.8746,0.3381,0.146,20500,0.8426,0.027,40300
Lander University,Greenwood,SC,1,0.4216,945,5591,0.6138,0.6743,0.4914,15250,0.515,0.1,31500
Limestone College,Gaffney,SC,2,0.5322,1010,10219,0.5827,0.6825,0.5202,20000,0.3644,0.131,36100
Newberry College,Newberry,SC,2,0.5908,938,10741,0.6864,0.7514,0.4655,21492,0.4458,0.15,29000
North Greenville University,Tigerville,SC,2,0.5791,1137,6361,0.7332,0.4719,0.3817,12000,0.5464,0.069,26700
Presbyterian College,Clinton,SC,2,0.66,1121,15548,0.8014,0.5209,0.2254,18797,0.6759,0.062,36800
South Carolina State University,Orangeburg,SC,1,0.5079,851,9292,0.6027,0.8187,0.7041,21750,0.3568,0.226,26200
Southern Wesleyan University,Central,SC,2,0.937,916,12008,0.6561,0.6908,0.4863,23375,0.4426,0.097,42000
University of South Carolina-Aiken,Aiken,SC,1,0.5122,973,5206,0.6578,0.5839,0.4158,13750,0.4212,0.082,35000
University of South Carolina-Beaufort,Bluffton,SC,1,0.7304,932,6420,0.5578,0.6089,0.3955,11000,0.2689,0.083,32400
University of South Carolina-Columbia,Columbia,SC,1,0.606,1200,10441,0.8738,0.4922,0.2394,19125,0.7268,0.047,43100
University of South Carolina-Upstate,Spartanburg,SC,1,0.6422,982,5701,0.661,0.6512,0.4555,15750,0.405,0.089,35100
Winthrop University,Rock Hill,SC,1,0.7225,1030,8375,0.7178,0.6564,0.4045,19976,0.5587,0.093,32600
Wofford College,Spartanburg,SC,2,0.688,1186,15560,0.895,0.412,0.1902,19500,0.8156,0.026,42800
Aquinas College,Nashville,TN,2,0.521,1115,14327,0.875,0.6853,0.3903,21230,0.4138,0.08,44700
Austin Peay State University,Clarksville,TN,1,0.8595,1009,5498,0.6618,0.5866,0.5384,15000,0.3603,0.137,32100
Baptist Memorial College of Health Sciences,Memphis,TN,2,0.463,1125,12396,0.7424,0.8121,0.4765,21000,0.3878,0.059,50700
Belmont University,Nashville,TN,2,0.7987,1193,21777,0.8333,0.6481,0.1756,19173,0.6796,0.019,39500
Bethel University,McKenzie,TN,2,0.5103,930,8975,0.5556,0.7765,0.607,14531,0.302,0.102,39300
Bryan College-Dayton,Dayton,TN,2,0.3762,1053,8672,0.7077,0.4577,0.3395,9722,0.6154,0.069,37600
Carson-Newman University,Jefferson City,TN,2,0.6657,1064,11866,0.6865,0.6586,0.4113,15505,0.4954,0.103,32400
Christian Brothers University,Memphis,TN,2,0.4745,1105,12545,0.7778,0.6516,0.4228,20600,0.5668,0.072,41600
Cumberland University,Lebanon,TN,2,0.473,986,9749,0.6368,0.6097,0.3976,17259,0.3714,0.084,36300
East Tennessee State University,Johnson City,TN,1,0.8649,1026,6934,0.6619,0.5122,0.4367,14250,0.4129,0.124,33700
Fisk University,Nashville,TN,2,0.3968,854,11470,0.7014,0.7098,0.6206,21500,0.5217,0.104,28000
Freed-Hardeman University,Henderson,TN,2,0.9203,1098,10867,0.7757,0.6225,0.3423,19125,0.5325,0.082,35400
Hiwassee College,Madisonville,TN,2,0.5836,863,9932,0.7,0.4496,0.416,7000,0.0838,0.379,25100
Johnson University,Knoxville,TN,2,0.5464,1022,7453,0.8045,0.601,0.4878,14250,0.5723,0.074,28600
King University,Bristol,TN,2,0.6377,1039,9244,0.6869,0.6903,0.459,17910,0.5165,0.055,42200
Lane College,Jackson,TN,2,0.4916,716,8453,0.4862,0.9312,0.9246,16018,0.3082,0.129,21900
Le Moyne-Owen College,Memphis,TN,2,0.2335,760,9809,0.4571,0.8312,0.7616,12250,0.1685,0.19,24700
Lee University,Cleveland,TN,2,0.9165,1094,9563,0.7719,0.5246,0.3926,17686.5,0.5313,0.113,30800
Lincoln Memorial University,Harrogate,TN,2,0.6995,1054,13098,0.7436,0.866,0.5057,15000,0.5304,0.053,36000
Lipscomb University,Nashville,TN,2,0.527,1149,17769,0.7672,0.5766,0.2854,14500,0.64,0.035,36100
Maryville College,Maryville,TN,2,0.7259,1068,11869,0.722,0.7045,0.4254,19000,0.5584,0.058,31500
Memphis College of Art,Memphis,TN,2,0.3978,1030,15765,0.6912,0.7803,0.5694,25774,0.4722,0.166,24000
Middle Tennessee State University,Murfreesboro,TN,1,0.6996,1011,5632,0.6838,0.5732,0.4485,15000,0.4565,0.116,34900
Milligan College,Milligan College,TN,2,0.683,1096,13827,0.8678,0.6025,0.3567,19000,0.5206,0.028,37800
O'More College of Design,Franklin,TN,2,0.5816,1050,26168,0.6,0.5122,0.322,15500,0.4286,0.083,30200
Rhodes College,Memphis,TN,2,0.5764,1288,18208,0.9259,0.3979,0.1426,22991,0.7832,0.042,40400
Sewanee-The University of the South,Sewanee,TN,2,0.6027,1248,21020,0.9073,0.167,0.1756,16000,0.7805,0.048,35700
Southern Adventist University,Collegedale,TN,2,0.3826,1050,14698,0.7696,0.5863,0.3764,18554,0.5969,0.063,37100
Tennessee Technological University,Cookeville,TN,1,0.9316,1071,4888,0.7458,0.4547,0.3695,11000,0.5064,0.087,35700
Tennessee Temple University,Chattanooga,TN,2,0.7843,878,7629,0.6667,0.9395,0.7909,10001,0.1897,0.254,29400
Tennessee Wesleyan College,Athens,TN,2,0.713,1006,10090,0.6055,0.6667,0.4589,14500,0.4444,0.095,36500
The University of Tennessee-Chattanooga,Chattanooga,TN,1,0.7757,1069,4864,0.6912,0.6922,0.3527,11420.5,0.3714,0.089,34100
The University of Tennessee-Knoxville,Knoxville,TN,1,0.7249,1199,10296,0.8563,0.4396,0.2991,15250,0.6754,0.06,44800
The University of Tennessee-Martin,Martin,TN,1,0.7668,1050,4784,0.6994,0.5605,0.4709,15134.5,0.4645,0.131,33000
Trevecca Nazarene University,Nashville,TN,2,0.772,1049,12553,0.7479,0.713,0.4226,16250,0.4664,0.043,40700
Tusculum College,Greeneville,TN,2,0.7225,961,9276,0.5,0.753,0.5874,20070,0.3391,0.114,36900
Union University,Jackson,TN,2,0.7412,1174,11059,0.9382,0.5108,0.281,20750,0.6364,0.041,42400
University of Memphis,Memphis,TN,1,0.6841,1031,7413,0.7583,0.6224,0.471,18938,0.432,0.124,36500
Vanderbilt University,Nashville,TN,2,0.1274,1475,22796,0.9732,0.1349,0.1429,13000,0.9252,0.013,65500
Watkins College of Art Design & Film,Nashville,TN,2,0.3498,971,18212,0.6444,0.6587,0.4471,16000,0.3704,0.11,31800
Abilene Christian University,Abilene,TX,2,0.4894,1087,14418,0.7941,0.5601,0.2347,20698.5,0.5637,0.075,37500
Angelo State University,San Angelo,TX,1,0.8049,965,6454,0.5457,0.5526,0.4264,11773,0.2975,0.134,35500
Austin College,Sherman,TX,2,0.5861,1181,17273,0.8279,0.7665,0.2842,23000,0.7177,0.026,42300
Baylor University,Waco,TX,2,0.5747,1215,19090,0.8825,0.4916,0.22,21000,0.7472,0.048,44000
Concordia University-Texas,Austin,TX,2,0.4685,1035,12791,0.4836,0.7106,0.3924,15224,0.3438,0.067,38900
Dallas Baptist University,Dallas,TX,2,0.423,1078,14692,0.6973,0.6157,0.3034,17348.5,0.5518,0.069,42000
Dallas Christian College,Dallas,TX,2,0.5516,930,11221,0.5833,0.7239,0.4693,14250,0.3023,0.129,38200
East Texas Baptist University,Marshall,TX,2,0.7362,957,12202,0.5714,0.722,0.4601,11411,0.3333,0.125,36700
Hardin-Simmons University,Abilene,TX,2,0.3759,1035,11836,0.6285,0.604,0.3379,16137,0.514,0.091,39600
Houston Baptist University,Houston,TX,2,0.7318,1075,13381,0.6284,0.5765,0.4868,12500,0.4388,0.09,41200
Howard Payne University,Brownwood,TX,2,0.5382,953,11845,0.6094,0.6664,0.4253,12275,0.4196,0.163,32900
Huston-Tillotson University,Austin,TX,2,0.4589,780,13782,0.5121,0.8382,0.7025,12498,0.2606,0.28,28500
Lamar University,Beaumont,TX,1,0.7682,974,6771,0.5346,0.5438,0.4556,12500,0.346,0.135,37600
LeTourneau University,Longview,TX,2,0.4066,1175,14855,0.7673,0.7886,0.4086,23250,0.528,0.069,49200
Lubbock Christian University,Lubbock,TX,2,0.9489,1010,9939,0.6975,0.7878,0.3927,18500,0.4125,0.102,39900
McMurry University,Abilene,TX,2,0.5924,982,12419,0.5908,0.6637,0.4571,16865,0.3794,0.141,37000
Midwestern State University,Wichita Falls,TX,1,0.7178,993,6401,0.6726,0.5099,0.3738,14950,0.4422,0.074,37400
Northwood University-Texas,Cedar Hill,TX,2,0.2578,924,9873,0.5671,0.8244,0.5229,18750,0.3083,0.096,42600
Our Lady of the Lake University,San Antonio,TX,2,0.6561,882,15625,0.557,0.7795,0.5714,17500,0.341,0.095,36500
Paul Quinn College,Dallas,TX,2,0.9858,775,14259,0.5714,0.8698,0.7865,9500,0.049,0.226,26700
Prairie View A & M University,Prairie View,TX,1,0.4232,845,5137,0.6788,0.7982,0.6541,17438,0.3652,0.245,33100
Rice University,Houston,TX,2,0.1674,1454,18601,0.9817,0.1798,0.1723,7727,0.9111,0.013,66600
Saint Edward's University,Austin,TX,2,0.7853,1117,21461,0.8263,0.5887,0.344,21500,0.6952,0.06,44000
Sam Houston State University,Huntsville,TX,1,0.6499,999,7143,0.7752,0.6009,0.4338,16490,0.5061,0.105,39800
Schreiner University,Kerrville,TX,2,0.9262,995,11488,0.6654,0.9082,0.4204,14250,0.4084,0.097,34400
Southern Methodist University,Dallas,TX,2,0.507,1302,25050,0.8891,0.3247,0.1735,19000,0.7902,0.04,55300
Southwestern Adventist University,Keene,TX,2,0.5392,949,11983,0.7155,0.6212,0.4579,17995,0.3824,0.123,37700
Southwestern University,Georgetown,TX,2,0.5217,1168,16516,0.8736,0.5244,0.259,20644,0.7008,0.084,44300
St Mary's University,San Antonio,TX,2,0.5823,1050,19894,0.7277,0.682,0.5144,20000,0.5504,0.083,40600
Stephen F Austin State University,Nacogdoches,TX,1,0.5687,998,5908,0.6729,0.601,0.448,16074,0.4317,0.129,37500
Sul Ross State University,Alpine,TX,1,0.522,865,5807,0.4784,0.5858,0.6055,10250,0.2851,0.154,34200
Tarleton State University,Stephenville,TX,1,0.5682,984,5831,0.6835,0.5557,0.4114,13118,0.4336,0.091,38600
Texas A & M International University,Laredo,TX,1,0.4785,892,3700,0.737,0.3872,0.5733,11250,0.4298,0.111,40500
Texas A & M University-College Station,College Station,TX,1,0.6947,1182,8988,0.9143,0.3511,0.2162,16566.5,0.7908,0.048,52400
Texas A & M University-Commerce,Commerce,TX,1,0.6818,987,7721,0.6687,0.5986,0.4948,15000,0.4518,0.11,36700
Texas A & M University-Corpus Christi,Corpus Christi,TX,1,0.9258,960,6678,0.5733,0.5459,0.4177,13500,0.4021,0.121,38300
Texas A & M University-Kingsville,Kingsville,TX,1,0.881,895,5669,0.6374,0.7603,0.5427,14695,0.341,0.133,38300
Texas A & M University-Texarkana,Texarkana,TX,1,0.3723,993,5426,0.403,0.3971,0.4616,10013.5,0.547,0.104,35600
Texas Christian University,Fort Worth,TX,2,0.4739,1206,23965,0.9021,0.3421,0.1447,19500,0.76,0.043,47600
Texas Lutheran University,Seguin,TX,2,0.5087,1041,12423,0.7014,0.7011,0.3991,17750,0.5151,0.097,39300
Texas Southern University,Houston,TX,1,0.4503,832,6770,0.5517,0.7412,0.6721,17311.5,0.1633,0.174,30300
Texas State University,San Marcos,TX,1,0.7508,1045,6728,0.7709,0.5201,0.3453,15750,0.5737,0.094,40900
Texas Tech University,Lubbock,TX,1,0.663,1116,8919,0.8233,0.4932,0.289,17750,0.5904,0.076,46000
Texas Wesleyan University,Fort Worth,TX,2,0.2992,997,18728,0.705,0.8133,0.4849,19500,0.4123,0.084,38800
Texas Woman's University,Denton,TX,1,0.8603,953,5374,0.7281,0.6135,0.4923,14385,0.4146,0.061,44200
The University of Texas at Arlington,Arlington,TX,1,0.5998,1077,7034,0.7083,0.5975,0.4039,12834,0.4041,0.073,43400
The University of Texas at Austin,Austin,TX,1,0.4019,1262,10476,0.9363,0.4008,0.2683,20500,0.7944,0.047,55400
The University of Texas at Dallas,Richardson,TX,1,0.5857,1262,10335,0.8811,0.5766,0.354,15080.5,0.6291,0.072,47800
The University of Texas at El Paso,El Paso,TX,1,0.9981,923,4743,0.6989,0.4967,0.5802,12500,0.3946,0.098,35400
The University of Texas at San Antonio,San Antonio,TX,1,0.7327,1050,7114,0.6437,0.5512,0.4379,16490,0.3,0.11,39600
The University of Texas at Tyler,Tyler,TX,1,0.8203,1064,4739,0.664,0.4778,0.3879,13000,0.4412,0.094,42700
The University of Texas of the Permian Basin,Odessa,TX,1,0.8401,1008,5242,0.6639,0.2456,0.2117,9015.5,0.2688,0.115,38400
The University of Texas-Pan American,Edinburg,TX,1,0.6217,937,3951,0.7627,0.424,0.6362,9621,0.393,0.124,36200
Trinity University,San Antonio,TX,2,0.6393,1270,16474,0.9563,0.3828,0.1549,18500,0.8162,0.027,50100
University of Dallas,Irving,TX,2,0.9011,1216,15224,0.7705,0.5066,0.2153,17625,0.6602,0.035,37600
University of Houston,Houston,TX,1,0.5841,1136,9305,0.8463,0.4299,0.3879,14878,0.4754,0.079,47700
University of Houston-Downtown,Houston,TX,1,0.9509,894,6072,0.6309,0.4419,0.4744,13000,0.1408,0.121,39400
University of Houston-Victoria,Victoria,TX,1,0.5102,903,5219,0.4781,0.4932,0.4369,12000,0.5478,0.067,38900
University of Mary Hardin-Baylor,Belton,TX,2,0.8468,1069,17201,0.6597,0.6876,0.4098,16500,0.4719,0.094,38200
University of North Texas,Denton,TX,1,0.5969,1100,7327,0.7503,0.5602,0.3645,14955,0.4993,0.1,39100
University of St Thomas,Houston,TX,2,0.7724,1121,16575,0.766,0.4209,0.3357,20000,0.5104,0.068,44300
University of the Incarnate Word,San Antonio,TX,2,0.9307,967,14974,0.6909,0.6301,0.4188,19500,0.4,0.092,43400
Wayland Baptist University,Plainview,TX,2,0.9862,940,8331,0.4704,0.42,0.3224,12500,0.332,0.108,40300
West Texas A & M University,Canyon,TX,1,0.7403,994,5769,0.6555,0.512,0.3858,13573,0.403,0.11,37800
Averett University,Danville,VA,2,0.6329,941,14621,0.6693,0.7399,0.4854,19298,0.3277,0.099,41400
Bluefield College,Bluefield,VA,2,0.5729,900,10152,0.4853,0.3394,0.2022,14454.5,0.4494,0.065,44100
Bridgewater College,Bridgewater,VA,2,0.5493,1033,11097,0.7627,0.7288,0.2672,19500,0.5991,0.06,36500
Christopher Newport University,Newport News,VA,1,0.5902,1161,6688,0.8394,0.5097,0.1665,19736.5,0.6551,0.027,38900
College of William and Mary,Williamsburg,VA,1,0.3321,1358,16797,0.9562,0.2944,0.1175,19500,0.8993,0.009,51700
Eastern Mennonite University,Harrisonburg,VA,2,0.6505,999,14945,0.7742,0.7224,0.3052,14926,0.6355,0.043,37300
Emory & Henry College,Emory,VA,2,0.6572,1004,11878,0.7254,0.7143,0.3967,19000,0.4792,0.068,34400
Ferrum College,Ferrum,VA,2,0.7411,868,13814,0.4927,0.9026,0.5689,11250,0.3181,0.128,31900
George Mason University,Fairfax,VA,1,0.6203,1155,10801,0.8728,0.4474,0.2684,17250,0.667,0.018,52300
Hampden-Sydney College,Hampden-Sydney,VA,2,0.5486,1113,15493,0.7836,0.5769,0.1991,19500,0.6216,0.05,41700
Hampton University,Hampton,VA,2,0.3605,990,11388,0.7554,0.2978,0.3912,22870,0.6751,0.097,39800
Hollins University,Roanoke,VA,2,0.693,1099,11425,0.6719,0.7015,0.3573,23869.5,0.5971,0.055,28700
James Madison University,Harrisonburg,VA,1,0.6356,1149,8595,0.9237,0.3884,0.1343,18500,0.815,0.025,48700
Jefferson College of Health Sciences,Roanoke,VA,2,0.4106,963,16798,0.6111,0.7529,0.4072,21000,0.3974,0.049,55500
Liberty University,Lynchburg,VA,2,0.2165,1030,9565,0.6851,0.68,0.5021,12612,0.5017,0.079,33500
Longwood University,Farmville,VA,1,0.8136,1002,6371,0.8155,0.5385,0.2344,19000,0.6341,0.036,37100
Lynchburg College,Lynchburg,VA,2,0.6369,1002,15444,0.7825,0.7209,0.2994,21500,0.5619,0.048,38900
Mary Baldwin College,Staunton,VA,2,0.8835,959,11530,0.686,0.5549,0.3803,18750,0.3908,0.039,36600
Marymount University,Arlington,VA,2,0.8252,1030,18584,0.7212,0.5773,0.2393,20500,0.5758,0.031,49100
Norfolk State University,Norfolk,VA,1,0.6499,879,4226,0.7203,0.8228,0.6169,21500,0.3443,0.206,32300
Old Dominion University,Norfolk,VA,1,0.7679,1016,5958,0.7956,0.5549,0.3395,18000,0.5117,0.068,41000
Radford University,Radford,VA,1,0.7831,980,5606,0.7807,0.5865,0.2846,15000,0.5853,0.042,39600
Randolph College,Lynchburg,VA,2,0.8343,1094,11962,0.75,0.6661,0.2921,22125,0.5225,0.033,34100
Randolph-Macon College,Ashland,VA,2,0.637,1082,15833,0.7737,0.7143,0.2525,19557,0.6224,0.088,40600
Regent University,Virginia Beach,VA,2,0.8514,1067,13845,0.7677,0.7655,0.5112,18500,0.5116,0.055,43300
Roanoke College,Salem,VA,2,0.7281,1086,15220,0.8048,0.7034,0.2451,24000,0.6425,0.044,39900
Shenandoah University,Winchester,VA,2,0.8456,1016,15890,0.7571,0.5679,0.1869,20000,0.4559,0.072,43100
Southern Virginia University,Buena Vista,VA,2,0.9987,1015,11560,0.7054,0.6511,0.5288,9500,0.3254,0.088,30900
Sweet Briar College,Sweet Briar,VA,2,0.8431,1084,18311,0.6875,0.4813,0.231,19000,0.5693,0.047,36900
The University of Virginia's College at Wise,Wise,VA,1,0.7449,949,6013,0.7108,0.4244,0.3798,12611,0.4314,0.123,35400
University of Mary Washington,Fredericksburg,VA,1,0.8096,1110,7290,0.8004,0.421,0.1542,16672,0.7371,0.017,44300
University of Richmond,University of Richmond,VA,2,0.3116,1313,23186,0.9373,0.4229,0.2005,18370,0.8502,0.017,57100
University of Virginia-Main Campus,Charlottesville,VA,1,0.2999,1362,17576,0.97,0.2414,0.1205,17746,0.9307,0.017,60500
Virginia Commonwealth University,Richmond,VA,1,0.6913,1102,9693,0.8659,0.5255,0.2865,19125,0.5681,0.06,40900
Virginia Intermont College,Bristol,VA,2,0.9646,928,12358,0.5256,0.7681,0.506,14397,0.4588,0.075,30200
Virginia Military Institute,Lexington,VA,1,0.4732,1141,12355,0.8411,0.4645,0.1508,19710,0.7585,0.06,45500
Virginia Polytechnic Institute and State University,Blacksburg,VA,1,0.7028,1220,11414,0.9119,0.4304,0.1735,21500,0.8243,0.026,51900
Virginia State University,Petersburg,VA,1,0.9459,811,5310,0.6495,0.8463,0.6829,17000,0.4034,0.137,31200
Virginia Union University,Richmond,VA,2,0.5848,750,10362,0.5421,0.8698,0.6777,14250,0.3547,0.284,27200
Virginia Wesleyan College,Norfolk,VA,2,0.9311,1021,16202,0.6736,0.6506,0.3669,12500,0.4404,0.1,35100
Washington and Lee University,Lexington,VA,2,0.1843,1392,26455,0.9666,0.2301,0.0958,18543,0.9024,0.011,69600
University of the Virgin Islands,Charlotte Amalie,VI,1,0.9782,807,7560,0.6767,0.3103,0.5549,7307.5,0.2438,0.164,33600
Alderson Broaddus University,Philippi,WV,2,0.4321,989,9586,0.5761,0.8232,0.4818,9500,0.4575,0.099,41700
Appalachian Bible College,Mount Hope,WV,2,0.9091,1026,6377,0.5957,0.2902,0.458,6000,0.6207,0.022,25700
Bethany College,Bethany,WV,2,0.4948,936,11782,0.5303,0.8571,0.4569,18250,0.4781,0.179,34600
Bluefield State College,Bluefield,WV,1,0.4267,905,2262,0.6012,0.6041,0.5948,13000,0.2365,0.268,29700
Concord University,Athens,WV,1,0.457,980,2738,0.6388,0.6086,0.4738,11028,0.3576,0.173,29500
Davis & Elkins College,Elkins,WV,2,0.5734,945,11611,0.4953,0.6822,0.4621,14250,0.3833,0.148,35400
Fairmont State University,Fairmont,WV,1,0.6649,965,3141,0.6117,0.6396,0.4803,14210,0.3513,0.17,31900
Glenville State College,Glenville,WV,1,0.7446,879,3587,0.6331,0.4821,0.4052,13282.5,0.3534,0.217,30500
